Id_Semester,No_Pelajar,Sem_Pelajar,Jumlah_Kredit,Jumlah_Nilai,GPA,CGPA,Status,Award
46,"333571244457",5,0,0.0000,0.0000,2.8500,"KBG","N"
46,"333531249117",6,0,0.0000,0.0000,3.7800,"KBG","P"
46,"333571242802",6,0,0.0000,0.0000,3.2300,"KBG","N"
46,"333571242815",6,0,0.0000,0.0000,3.3500,"KBG","N"
46,"333571242828",6,0,0.0000,0.0000,3.4300,"KBG","N"
46,"333571242844",6,0,0.0000,0.0000,3.6800,"KBG","P"
46,"333571242886",6,0,0.0000,0.0000,3.5100,"KBG","E"
46,"333571242899",6,0,0.0000,0.0000,3.6700,"KBTG","N"
46,"333571242912",6,0,0.0000,0.0000,3.4100,"KBG","N"
46,"333571242925",6,0,0.0000,0.0000,3.6000,"KBG","P"
46,"333571242938",6,0,0.0000,0.0000,3.4400,"KBG","N"
46,"333571242941",6,0,0.0000,0.0000,3.2800,"KBG","N"
46,"333571242954",6,0,0.0000,0.0000,3.5800,"KBG","E"
46,"333571242967",6,0,0.0000,0.0000,3.5300,"KBG","E"
46,"333571242983",6,0,0.0000,0.0000,3.3000,"KBG","N"
46,"333571242996",6,0,0.0000,0.0000,3.4600,"KBG","N"
46,"333571243005",6,0,0.0000,0.0000,3.5500,"KBG","E"
46,"333571243018",6,0,0.0000,0.0000,3.3600,"KBG","N"
46,"333571243092",6,6,23.1000,3.8500,3.5200,"KBG","E"
46,"333571243115",6,6,21.0000,3.5000,3.5900,"KBG","P"
46,"333571243128",6,6,22.2000,3.7000,3.6700,"KBG","P"
46,"333571243131",6,6,23.1000,3.8500,3.7400,"KBG","E"
46,"333571243144",6,6,24.0000,4.0000,3.5300,"KBG","E"
46,"333571243157",6,6,24.0000,4.0000,3.5300,"KBG","E"
